ID ANSSI,Titre ANSSI,Type,Date,CVE,CVSS,Base Severity,CWE,EPSS,Lien,Description,Éditeur,Produit,Versions affectées
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-10985,,Non disponible,CWE-125,0.00035,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Out of bounds read in Skia in Google Chrome prior to 149.0.7827.53 allowed a remote attacker to leak cross-origin data via a crafted HTML page. (Chromium security severity: High),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-10989,,Non disponible,Non disponible,0.00086,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Inappropriate implementation in V8 in Google Chrome prior to 149.0.7827.53 allowed a remote attacker who convinced a user to engage in specific UI gestures to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-11109,,Non disponible,CWE-457,0.0003,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Uninitialized Use in ANGLE in Google Chrome prior to 149.0.7827.53 allowed a remote attacker to leak cross-origin data via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-11163,,Non disponible,CWE-416,0.00073,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Use after free in Messages in Google Chrome on Android prior to 149.0.7827.53 allowed a remote attacker to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-10934,,Non disponible,CWE-416,0.00073,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Use after free in Autofill in Google Chrome on Android prior to 149.0.7827.53 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: High),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-11059,,Non disponible,CWE-416,0.00086,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Use after free in Blink in Google Chrome prior to 149.0.7827.53 allowed a remote attacker to execute arbitrary code inside a sandbox via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-11264,,Non disponible,Non disponible,0.00029,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Policy bypass in Content Security Policy in Google Chrome prior to 149.0.7827.53 allowed a remote attacker to bypass content security policy via a crafted HTML page. (Chromium security severity: Low),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-11273,,Non disponible,CWE-20,0.00041,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Insufficient validation of untrusted input in Omnibox in Google Chrome prior to 149.0.7827.53 allowed a remote attacker who convinced a user to engage in specific UI gestures to inject arbitrary scripts or HTML (UXSS) via a crafted HTML page. (Chromium security severity: Low),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-11177,,Non disponible,CWE-416,0.00073,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Use after free in Omnibox in Google Chrome prior to 149.0.7827.53 allowed a remote attacker who convinced a user to engage in specific UI gestures to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: Medium),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-10915,,Non disponible,CWE-416,0.00118,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Use after free in Core in Google Chrome on iOS prior to 149.0.7827.53 allowed a remote attacker who had compromised the renderer process to potentially perform a sandbox escape via a crafted HTML page. (Chromium security severity: High),Google,Chrome,149.0.7827.53
CERTFR-2026-AVI-0692,Multiples vulnérabilités dans Google Chrome (05 juin 2026),Avis,2026-06-05 00:00:00+00:00,CVE-2026-10887,,Non disponible,CWE-416,0.00336,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0692/,Use after free in Chromoting in Google Chrome on Mac prior to 149.0.7827.53 allowed a remote attacker to execute arbitrary code via malicious network traffic. (Chromium security severity: Critical),Google,Chrome,149.0.7827.53
